id,X,Y
"6044",9.6394420000,21.5749970000
"6045",10.1394420000,21.5749970000
"6046",10.6394420000,21.5749970000
"6047",11.1394420000,21.5749970000
"6048",11.6394420000,21.5749970000
"6049",12.1394420000,21.5749970000
"6050",12.6394420000,21.5749970000
"6051",13.1394420000,21.5749970000
"6052",13.6394420000,21.5749970000
"6053",14.1394420000,21.5749970000
"6054",14.6394420000,21.5749970000
"6055",15.1394420000,21.5749970000
"6056",15.6394420000,21.5749970000
"6057",16.1394420000,21.5749970000
"6058",16.6394420000,21.5749970000
"6059",17.1394420000,21.5749970000
"6060",17.6394420000,21.5749970000
"6061",18.1394420000,21.5749970000
"6062",18.6394420000,21.5749970000
"6063",19.1394420000,21.5749970000
"6064",19.6394420000,21.5749970000
"6075",25.1394420000,21.5749970000
"6076",25.6394420000,21.5749970000
"6077",26.1394420000,21.5749970000
"6078",26.6394420000,21.5749970000
"6079",27.1394420000,21.5749970000
"6080",27.6394420000,21.5749970000
"6081",28.1394420000,21.5749970000
"6082",28.6394420000,21.5749970000
"6083",29.1394420000,21.5749970000
"6084",29.6394420000,21.5749970000
"6085",30.1394420000,21.5749970000
"6086",30.6394420000,21.5749970000
"6087",31.1394420000,21.5749970000
"6088",31.6394420000,21.5749970000
"6089",32.1394420000,21.5749970000
"6090",32.6394420000,21.5749970000
"6091",33.1394420000,21.5749970000
"6092",33.6394420000,21.5749970000
"6093",34.1394420000,21.5749970000
"6094",34.6394420000,21.5749970000
"6095",35.1394420000,21.5749970000
"6096",35.6394420000,21.5749970000
"6097",36.1394420000,21.5749970000
"6098",36.6394420000,21.5749970000
"6197",-16.8605580000,21.0749970000
"6198",-16.3605580000,21.0749970000
"6199",-15.8605580000,21.0749970000
"6200",-15.3605580000,21.0749970000
"6201",-14.8605580000,21.0749970000
"6202",-14.3605580000,21.0749970000
"6203",-13.8605580000,21.0749970000
"6204",-13.3605580000,21.0749970000
"6205",-12.8605580000,21.0749970000
"6206",-12.3605580000,21.0749970000
"6207",-11.8605580000,21.0749970000
"6208",-11.3605580000,21.0749970000
"6209",-10.8605580000,21.0749970000
"6210",-10.3605580000,21.0749970000
"6211",-9.8605580000,21.0749970000
"6212",-9.3605580000,21.0749970000
"6213",-8.8605580000,21.0749970000
"6214",-8.3605580000,21.0749970000
"6215",-7.8605580000,21.0749970000
"6216",-7.3605580000,21.0749970000
"6217",-6.8605580000,21.0749970000
"6218",-6.3605580000,21.0749970000
"6219",-5.8605580000,21.0749970000
"6220",-5.3605580000,21.0749970000
"6221",-4.8605580000,21.0749970000
"6222",-4.3605580000,21.0749970000
"6223",-3.8605580000,21.0749970000
"6224",-3.3605580000,21.0749970000
"6225",-2.8605580000,21.0749970000
"6226",-2.3605580000,21.0749970000
"6227",-1.8605580000,21.0749970000
"6228",-1.3605580000,21.0749970000
