"","month","value","source","iso3","tbase","method"
"218","May",3770.71337890625,"CDDs_worldclim (1970-2000 avg.)","ERI",22,"UKMO"
"219","May",13673.859375,"CDDs_worldclim (1970-2000 avg.)","ETH",22,"UKMO"
"220","May",438.202911376953,"CDDs_worldclim (1970-2000 avg.)","GMB",22,"UKMO"
"221","May",2008.84753417969,"CDDs_worldclim (1970-2000 avg.)","GAB",22,"UKMO"
"222","May",5055.8369140625,"CDDs_worldclim (1970-2000 avg.)","GHA",22,"UKMO"
"223","May",6617.09033203125,"CDDs_worldclim (1970-2000 avg.)","GIN",22,"UKMO"
"224","May",5236.43115234375,"CDDs_worldclim (1970-2000 avg.)","CIV",22,"UKMO"
"225","May",6323.2705078125,"CDDs_worldclim (1970-2000 avg.)","KEN",22,"UKMO"
"226","May",1196.7919921875,"CDDs_worldclim (1970-2000 avg.)","LBR",22,"UKMO"
"227","May",3948.94653320312,"CDDs_worldclim (1970-2000 avg.)","MDG",22,"UKMO"
"228","May",64141.234375,"CDDs_worldclim (1970-2000 avg.)","MLI",22,"UKMO"
"229","May",50518.28125,"CDDs_worldclim (1970-2000 avg.)","MRT",22,"UKMO"
"230","May",0,"CDDs_worldclim (1970-2000 avg.)","MLT",22,"UKMO"
"231","May",4254.83154296875,"CDDs_worldclim (1970-2000 avg.)","MOZ",22,"UKMO"
"232","May",168.117111206055,"CDDs_worldclim (1970-2000 avg.)","MWI",22,"UKMO"
"233","May",64568.50390625,"CDDs_worldclim (1970-2000 avg.)","NER",22,"UKMO"
"234","May",0,"CDDs_worldclim (1970-2000 avg.)","MYT",22,"UKMO"
"235","May",0,"CDDs_worldclim (1970-2000 avg.)","ATF",22,"UKMO"
"236","May",26990.697265625,"CDDs_worldclim (1970-2000 avg.)","NGA",22,"UKMO"
"237","May",1115.74157714844,"CDDs_worldclim (1970-2000 avg.)","GNB",22,"UKMO"
"238","May",0.460562437772751,"CDDs_worldclim (1970-2000 avg.)","RWA",22,"UKMO"
"239","May",0,"CDDs_worldclim (1970-2000 avg.)","SYC",22,"UKMO"
"240","May",171.032592773438,"CDDs_worldclim (1970-2000 avg.)","ZAF",22,"UKMO"
"241","May",0,"CDDs_worldclim (1970-2000 avg.)","LSO",22,"UKMO"
"242","May",2170.65600585938,"CDDs_worldclim (1970-2000 avg.)","BWA",22,"UKMO"
"243","May",9608.87890625,"CDDs_worldclim (1970-2000 avg.)","SEN",22,"UKMO"
"244","May",1333.40356445312,"CDDs_worldclim (1970-2000 avg.)","SLE",22,"UKMO"
"245","May",13377.4990234375,"CDDs_worldclim (1970-2000 avg.)","SOM",22,"UKMO"
"246","May",105231.6875,"CDDs_worldclim (1970-2000 avg.)","SDN",22,"UKMO"
"247","May",1123.95812988281,"CDDs_worldclim (1970-2000 avg.)","TGO",22,"UKMO"
"248","May",0,"CDDs_worldclim (1970-2000 avg.)","STP",22,"UKMO"
"249","May",2645.91040039062,"CDDs_worldclim (1970-2000 avg.)","TZA",22,"UKMO"
"250","May",818.178771972656,"CDDs_worldclim (1970-2000 avg.)","UGA",22,"UKMO"
"251","May",12450.8603515625,"CDDs_worldclim (1970-2000 avg.)","BFA",22,"UKMO"
"252","May",1383.29626464844,"CDDs_worldclim (1970-2000 avg.)","NAM",22,"UKMO"
"253","May",17.1754131317139,"CDDs_worldclim (1970-2000 avg.)","SWZ",22,"UKMO"
"254","May",1869.16198730469,"CDDs_worldclim (1970-2000 avg.)","ZMB",22,"UKMO"
"255","May",648.154968261719,"CDDs_worldclim (1970-2000 avg.)","ZWE",22,"UKMO"
"256","Jun",2908.03784179688,"CDDs_worldclim (1970-2000 avg.)","AGO",22,"UKMO"
"257","Jun",0,"CDDs_worldclim (1970-2000 avg.)","BHR",22,"UKMO"
"258","Jun",1737.43542480469,"CDDs_worldclim (1970-2000 avg.)","BEN",22,"UKMO"
"259","Jun",1791.07629394531,"CDDs_worldclim (1970-2000 avg.)","COG",22,"UKMO"
"260","Jun",14583.8056640625,"CDDs_worldclim (1970-2000 avg.)","COD",22,"UKMO"
"261","Jun",34.9851608276367,"CDDs_worldclim (1970-2000 avg.)","BDI",22,"UKMO"
"262","Jun",3133.5654296875,"CDDs_worldclim (1970-2000 avg.)","CMR",22,"UKMO"
"263","Jun",59964.61328125,"CDDs_worldclim (1970-2000 avg.)","TCD",22,"UKMO"
"264","Jun",0,"CDDs_worldclim (1970-2000 avg.)","COM",22,"UKMO"
"265","Jun",5032.90673828125,"CDDs_worldclim (1970-2000 avg.)","CAF",22,"UKMO"
"266","Jun",0,"CDDs_worldclim (1970-2000 avg.)","CPV",22,"UKMO"
"267","Jun",1353.05029296875,"CDDs_worldclim (1970-2000 avg.)","DJI",22,"UKMO"
"268","Jun",46.956615447998,"CDDs_worldclim (1970-2000 avg.)","GNQ",22,"UKMO"
"269","Jun",4087.69750976562,"CDDs_worldclim (1970-2000 avg.)","ERI",22,"UKMO"
"270","Jun",13202.03125,"CDDs_worldclim (1970-2000 avg.)","ETH",22,"UKMO"
"271","Jun",334.126739501953,"CDDs_worldclim (1970-2000 avg.)","GMB",22,"UKMO"
"272","Jun",743.699157714844,"CDDs_worldclim (1970-2000 avg.)","GAB",22,"UKMO"
